"Df"	"Sum Sq"	"Mean Sq"	"F value"	"Pr(>F)"	"Item"	"signif"	"Category3"	"keggID"	"Category1"	"Category2"
1	8.08683265680612e-11	8.08683265680612e-11	0.123128108570645	0.727965933554991	"sex        "	"ns"	"MAPK signaling pathway - fly"	"Kegg175"	"Environmental Information Processing"	"Signal transduction"
7	3.17445551742305e-09	4.5349364534615e-10	0.69047817816885	0.679328158601562	"Plant:sex  "	"ns"	"MAPK signaling pathway - fly"	"Kegg175"	"Environmental Information Processing"	"Signal transduction"
32	2.10170243027262e-08	6.56782009460192e-10	NA	NA	"Residuals  "	NA	"MAPK signaling pathway - fly"	"Kegg175"	"Environmental Information Processing"	"Signal transduction"
7	6.22469514196545e-08	8.89242163137921e-09	1.31119785083285	0.276980791104872	"Plant      "	"ns"	"MAPK signaling pathway - plant"	"Kegg176"	"Environmental Information Processing"	"Signal transduction"
1	2.58921748746428e-08	2.58921748746428e-08	3.8178311214146	0.0594974154574339	"sex        "	"ns"	"MAPK signaling pathway - plant"	"Kegg176"	"Environmental Information Processing"	"Signal transduction"
7	2.59462953653882e-08	3.70661362362688e-09	0.546544464335474	0.792654530394724	"Plant:sex  "	"ns"	"MAPK signaling pathway - plant"	"Kegg176"	"Environmental Information Processing"	"Signal transduction"
32	2.17021017860416e-07	6.781906808138e-09	NA	NA	"Residuals  "	NA	"MAPK signaling pathway - plant"	"Kegg176"	"Environmental Information Processing"	"Signal transduction"
7	3.06422920435468e-08	4.37747029193526e-09	2.35144877019484	0.0467567614940551	"Plant      "	"*"	"MAPK signaling pathway - yeast"	"Kegg177"	"Environmental Information Processing"	"Signal transduction"
1	1.96735920251199e-08	1.96735920251199e-08	10.56807715132	0.0027092176755078	"sex        "	"**"	"MAPK signaling pathway - yeast"	"Kegg177"	"Environmental Information Processing"	"Signal transduction"
7	4.21975561538122e-08	6.02822230768746e-09	3.2381843819678	0.0103403443738811	"Plant:sex  "	"*"	"MAPK signaling pathway - yeast"	"Kegg177"	"Environmental Information Processing"	"Signal transduction"
32	5.95713804686978e-08	1.86160563964681e-09	NA	NA	"Residuals  "	NA	"MAPK signaling pathway - yeast"	"Kegg177"	"Environmental Information Processing"	"Signal transduction"
7	2.49899440555376e-10	3.56999200793394e-11	2.7925262199736	0.0218990005967442	"Plant      "	"*"	"Mannose type O-glycan biosynthesis"	"Kegg178"	"Metabolism"	"Glycan biosynthesis and metabolism"
1	1.088573292635e-10	1.088573292635e-10	8.51505957237558	0.00639569094807382	"sex        "	"**"	"Mannose type O-glycan biosynthesis"	"Kegg178"	"Metabolism"	"Glycan biosynthesis and metabolism"
7	1.36221776771174e-10	1.94602538244534e-11	1.52222382939108	0.195288344373575	"Plant:sex  "	"ns"	"Mannose type O-glycan biosynthesis"	"Kegg178"	"Metabolism"	"Glycan biosynthesis and metabolism"
32	4.09091035338484e-10	1.27840948543276e-11	NA	NA	"Residuals  "	NA	"Mannose type O-glycan biosynthesis"	"Kegg178"	"Metabolism"	"Glycan biosynthesis and metabolism"
7	2.20089798200083e-08	3.14413997428689e-09	2.95839717305484	0.0165263279364135	"Plant      "	"*"	"Measles"	"Kegg179"	"Human Diseases"	"Infectious disease: viral"
1	4.15912071223432e-10	4.15912071223432e-10	0.391341704189189	0.536031412407609	"sex        "	"ns"	"Measles"	"Kegg179"	"Human Diseases"	"Infectious disease: viral"
7	2.31334654791472e-09	3.30478078273532e-10	0.310954798614765	0.943671919236067	"Plant:sex  "	"ns"	"Measles"	"Kegg179"	"Human Diseases"	"Infectious disease: viral"
32	3.40091182122407e-08	1.06278494413252e-09	NA	NA	"Residuals  "	NA	"Measles"	"Kegg179"	"Human Diseases"	"Infectious disease: viral"
7	2.03917500527727e-10	2.9131071503961e-11	0.919452494301053	0.504552893579912	"Plant      "	"ns"	"Meiosis - yeast"	"Kegg180"	"Cellular Processes"	"Cell growth and death"
1	4.26756093942962e-10	4.26756093942962e-10	13.4695338954723	0.000876088179386188	"sex        "	"***"	"Meiosis - yeast"	"Kegg180"	"Cellular Processes"	"Cell growth and death"
7	1.88596281373839e-10	2.69423259105484e-11	0.850369982352255	0.554959227129492	"Plant:sex  "	"ns"	"Meiosis - yeast"	"Kegg180"	"Cellular Processes"	"Cell growth and death"
32	1.01385802301334e-09	3.1683063219167e-11	NA	NA	"Residuals  "	NA	"Meiosis - yeast"	"Kegg180"	"Cellular Processes"	"Cell growth and death"
7	4.20837508328259e-05	6.01196440468941e-06	3.38352438287158	0.00813082102900499	"Plant      "	"**"	"Metabolic pathways"	"Kegg181"	"Metabolism"	"Global and overview maps"
1	4.82556506270372e-05	4.82556506270372e-05	27.1582064558727	1.07449044227851e-05	"sex        "	"***"	"Metabolic pathways"	"Kegg181"	"Metabolism"	"Global and overview maps"
7	4.2305752421715e-05	6.04367891738785e-06	3.40137326217006	0.0078955335897508	"Plant:sex  "	"**"	"Metabolic pathways"	"Kegg181"	"Metabolism"	"Global and overview maps"
32	5.6858718655601e-05	1.77683495798753e-06	NA	NA	"Residuals  "	NA	"Metabolic pathways"	"Kegg181"	"Metabolism"	"Global and overview maps"
7	1.69919103911976e-07	2.42741577017109e-08	2.99059973741172	0.0156519414697711	"Plant      "	"*"	"Metabolism of xenobiotics by cytochrome P450"	"Kegg182"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
1	4.14985089753693e-09	4.14985089753693e-09	0.51126564954289	0.479776046593265	"sex        "	"ns"	"Metabolism of xenobiotics by cytochrome P450"	"Kegg182"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
7	3.31614767970878e-08	4.73735382815539e-09	0.583646579568418	0.76400610521269	"Plant:sex  "	"ns"	"Metabolism of xenobiotics by cytochrome P450"	"Kegg182"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
32	2.5973821796929e-07	8.11681931154032e-09	NA	NA	"Residuals  "	NA	"Metabolism of xenobiotics by cytochrome P450"	"Kegg182"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
7	1.88597150027639e-06	2.69424500039484e-07	2.45563588855771	0.0390462764262943	"Plant      "	"*"	"Methane metabolism"	"Kegg183"	"Metabolism"	"Energy metabolism"
1	5.39000082206081e-08	5.39000082206081e-08	0.491264879625585	0.48842934612596	"sex        "	"ns"	"Methane metabolism"	"Kegg183"	"Metabolism"	"Energy metabolism"
7	8.93512093822426e-07	1.27644584831775e-07	1.16340059440407	0.350631285541655	"Plant:sex  "	"ns"	"Methane metabolism"	"Kegg183"	"Metabolism"	"Energy metabolism"
32	3.51093744860004e-06	1.09716795268751e-07	NA	NA	"Residuals  "	NA	"Methane metabolism"	"Kegg183"	"Metabolism"	"Energy metabolism"
7	9.17941760488333e-08	1.31134537212619e-08	0.82451168813103	0.574457415415062	"Plant      "	"ns"	"MicroRNAs in cancer"	"Kegg184"	"Human Diseases"	"Cancer: overview"
1	4.43025290905852e-08	4.43025290905852e-08	2.78553261599777	0.104875606613403	"sex        "	"ns"	"MicroRNAs in cancer"	"Kegg184"	"Human Diseases"	"Cancer: overview"
7	3.9995423397869e-07	5.71363191398129e-08	3.59246038068353	0.00577844705119015	"Plant:sex  "	"**"	"MicroRNAs in cancer"	"Kegg184"	"Human Diseases"	"Cancer: overview"
32	5.08944294084639e-07	1.5904509190145e-08	NA	NA	"Residuals  "	NA	"MicroRNAs in cancer"	"Kegg184"	"Human Diseases"	"Cancer: overview"
7	6.23813922457039e-05	8.91162746367198e-06	4.52067323887637	0.00134666291506658	"Plant      "	"**"	"Microbial metabolism in diverse environments"	"Kegg185"	"Metabolism"	"Global and overview maps"
1	6.09702880062549e-07	6.09702880062549e-07	0.309288904277078	0.581985132593985	"sex        "	"ns"	"Microbial metabolism in diverse environments"	"Kegg185"	"Metabolism"	"Global and overview maps"
7	3.40435429980933e-06	4.8633632854419e-07	0.246707757309819	0.969607502893812	"Plant:sex  "	"ns"	"Microbial metabolism in diverse environments"	"Kegg185"	"Metabolism"	"Global and overview maps"
32	6.30817720655218e-05	1.97130537704755e-06	NA	NA	"Residuals  "	NA	"Microbial metabolism in diverse environments"	"Kegg185"	"Metabolism"	"Global and overview maps"
7	3.67655209938792e-08	5.25221728483989e-09	1.23668635815337	0.312296708235112	"Plant      "	"ns"	"Mineral absorption"	"Kegg186"	"Organismal Systems"	"Digestive system"
1	3.37499804239349e-09	3.37499804239349e-09	0.794676574000424	0.379343979568264	"sex        "	"ns"	"Mineral absorption"	"Kegg186"	"Organismal Systems"	"Digestive system"
7	4.37705561135378e-08	6.25293658764826e-09	1.47231558729742	0.212339598331827	"Plant:sex  "	"ns"	"Mineral absorption"	"Kegg186"	"Organismal Systems"	"Digestive system"
32	1.35904267081785e-07	4.24700834630579e-09	NA	NA	"Residuals  "	NA	"Mineral absorption"	"Kegg186"	"Organismal Systems"	"Digestive system"
7	3.54332675681724e-07	5.06189536688177e-08	0.959462841463821	0.47661960135909	"Plant      "	"ns"	"Mismatch repair"	"Kegg187"	"Genetic Information Processing"	"Replication and repair"
1	7.54360235562654e-07	7.54360235562654e-07	14.2986087748022	0.000644625542048538	"sex        "	"***"	"Mismatch repair"	"Kegg187"	"Genetic Information Processing"	"Replication and repair"
7	6.89378166216082e-07	9.8482595173726e-08	1.86669979822839	0.108373847926216	"Plant:sex  "	"ns"	"Mismatch repair"	"Kegg187"	"Genetic Information Processing"	"Replication and repair"
32	1.68824309540834e-06	5.27575967315108e-08	NA	NA	"Residuals  "	NA	"Mismatch repair"	"Kegg187"	"Genetic Information Processing"	"Replication and repair"
7	1.67866171108815e-08	2.39808815869735e-09	3.1101717182891	0.0128022770457209	"Plant      "	"*"	"Mitophagy - animal"	"Kegg188"	"Cellular Processes"	"Transport and catabolism"
1	1.44560691695594e-08	1.44560691695594e-08	18.7486257858082	0.00013744499667326	"sex        "	"***"	"Mitophagy - animal"	"Kegg188"	"Cellular Processes"	"Transport and catabolism"
7	6.73443642342275e-09	9.6206234620325e-10	1.24773523839823	0.306830494470764	"Plant:sex  "	"ns"	"Mitophagy - animal"	"Kegg188"	"Cellular Processes"	"Transport and catabolism"
32	2.46734997386348e-08	7.71046866832337e-10	NA	NA	"Residuals  "	NA	"Mitophagy - animal"	"Kegg188"	"Cellular Processes"	"Transport and catabolism"
7	1.90017744799062e-07	2.71453921141518e-08	1.06192465794808	0.409786674923866	"Plant      "	"ns"	"Monobactam biosynthesis"	"Kegg189"	"Metabolism"	"Biosynthesis of other secondary metabolites"
1	2.23067654204581e-08	2.23067654204581e-08	0.872638130973937	0.357221907026519	"sex        "	"ns"	"Monobactam biosynthesis"	"Kegg189"	"Metabolism"	"Biosynthesis of other secondary metabolites"
7	1.42543720993095e-07	2.03633887132992e-08	0.796613454802909	0.595823802881233	"Plant:sex  "	"ns"	"Monobactam biosynthesis"	"Kegg189"	"Metabolism"	"Biosynthesis of other secondary metabolites"
32	8.17998283730716e-07	2.55624463665849e-08	NA	NA	"Residuals  "	NA	"Monobactam biosynthesis"	"Kegg189"	"Metabolism"	"Biosynthesis of other secondary metabolites"
7	2.90677455026482e-12	4.15253507180689e-13	1.12149918658433	0.374197451159091	"Plant      "	"ns"	"Mucin type O-glycan biosynthesis"	"Kegg190"	"Metabolism"	"Glycan biosynthesis and metabolism"
1	5.27983166977262e-13	5.27983166977262e-13	1.42595470491129	0.241202759464649	"sex        "	"ns"	"Mucin type O-glycan biosynthesis"	"Kegg190"	"Metabolism"	"Glycan biosynthesis and metabolism"
7	2.29002743871222e-12	3.27146776958889e-13	0.883544239623806	0.530428919151592	"Plant:sex  "	"ns"	"Mucin type O-glycan biosynthesis"	"Kegg190"	"Metabolism"	"Glycan biosynthesis and metabolism"
32	1.18485259630483e-11	3.7026643634526e-13	NA	NA	"Residuals  "	NA	"Mucin type O-glycan biosynthesis"	"Kegg190"	"Metabolism"	"Glycan biosynthesis and metabolism"
7	5.14541056886599e-08	7.35058652695142e-09	0.755868828280997	0.627546503574482	"Plant      "	"ns"	"Mycolic acid biosynthesis"	"Kegg191"	"Metabolism"	"Lipid metabolism"
1	1.02568879122327e-08	1.02568879122327e-08	1.05472696901158	0.312121842233872	"sex        "	"ns"	"Mycolic acid biosynthesis"	"Kegg191"	"Metabolism"	"Lipid metabolism"
7	2.56364013935037e-08	3.66234305621482e-09	0.376602730205836	0.909178541784794	"Plant:sex  "	"ns"	"Mycolic acid biosynthesis"	"Kegg191"	"Metabolism"	"Lipid metabolism"
32	3.1118993145594e-07	9.72468535799813e-09	NA	NA	"Residuals  "	NA	"Mycolic acid biosynthesis"	"Kegg191"	"Metabolism"	"Lipid metabolism"
7	1.52633753587497e-08	2.1804821941071e-09	5.15092022342237	0.00053026574170544	"Plant      "	"***"	"N-Glycan biosynthesis"	"Kegg192"	"Metabolism"	"Glycan biosynthesis and metabolism"
1	4.21702735967712e-09	4.21702735967712e-09	9.96182017371678	0.00347159492575762	"sex        "	"**"	"N-Glycan biosynthesis"	"Kegg192"	"Metabolism"	"Glycan biosynthesis and metabolism"
7	2.13000626721869e-09	3.0428660960267e-10	0.718811671727891	0.656800392904649	"Plant:sex  "	"ns"	"N-Glycan biosynthesis"	"Kegg192"	"Metabolism"	"Glycan biosynthesis and metabolism"
32	1.35462067329528e-08	4.23318960404777e-10	NA	NA	"Residuals  "	NA	"N-Glycan biosynthesis"	"Kegg192"	"Metabolism"	"Glycan biosynthesis and metabolism"
7	9.28522486227975e-08	1.32646069461139e-08	3.09604297911171	0.0131089717551465	"Plant      "	"*"	"NOD-like receptor signaling pathway"	"Kegg193"	"Organismal Systems"	"Immune system"
1	1.309110024798e-08	1.309110024798e-08	3.05554542070166	0.0900520749873291	"sex        "	"ns"	"NOD-like receptor signaling pathway"	"Kegg193"	"Organismal Systems"	"Immune system"
7	1.69448363483357e-08	2.4206909069051e-09	0.565004535556084	0.778484082278278	"Plant:sex  "	"ns"	"NOD-like receptor signaling pathway"	"Kegg193"	"Organismal Systems"	"Immune system"
32	1.37099977338632e-07	4.28437429183225e-09	NA	NA	"Residuals  "	NA	"NOD-like receptor signaling pathway"	"Kegg193"	"Organismal Systems"	"Immune system"
7	2.49677803733503e-08	3.56682576762147e-09	0.827270022458422	0.572362840213984	"Plant      "	"ns"	"Naphthalene degradation"	"Kegg194"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
1	3.43810198704738e-10	3.43810198704738e-10	0.0797414534194001	0.779466569961675	"sex        "	"ns"	"Naphthalene degradation"	"Kegg194"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
7	1.68802580484288e-08	2.41146543548983e-09	0.559302078359072	0.782880627168665	"Plant:sex  "	"ns"	"Naphthalene degradation"	"Kegg194"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
32	1.37969975298632e-07	4.31156172808224e-09	NA	NA	"Residuals  "	NA	"Naphthalene degradation"	"Kegg194"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
7	1.08192672976874e-07	1.54560961395534e-08	2.30951328531899	0.0502805282729896	"Plant      "	"ns"	"Necroptosis"	"Kegg195"	"Cellular Processes"	"Cell growth and death"
1	1.66730326352782e-08	1.66730326352782e-08	2.49135292832391	0.124308922096594	"sex        "	"ns"	"Necroptosis"	"Kegg195"	"Cellular Processes"	"Cell growth and death"
7	7.54579781754796e-08	1.07797111679257e-08	1.610748660557	0.168131820419144	"Plant:sex  "	"ns"	"Necroptosis"	"Kegg195"	"Cellular Processes"	"Cell growth and death"
32	2.14155545070785e-07	6.69236078346204e-09	NA	NA	"Residuals  "	NA	"Necroptosis"	"Kegg195"	"Cellular Processes"	"Cell growth and death"
7	1.26145460688502e-07	1.80207800983575e-08	1.91335093614963	0.0999732243409494	"Plant      "	"ns"	"Neomycin, kanamycin and gentamicin biosynthesis"	"Kegg196"	"Metabolism"	"Biosynthesis of other secondary metabolites"
1	4.45008234382804e-08	4.45008234382804e-08	4.72486161644158	0.0372388550964053	"sex        "	"*"	"Neomycin, kanamycin and gentamicin biosynthesis"	"Kegg196"	"Metabolism"	"Biosynthesis of other secondary metabolites"
7	2.60387242883169e-08	3.71981775547385e-09	0.394950537429322	0.898267589993678	"Plant:sex  "	"ns"	"Neomycin, kanamycin and gentamicin biosynthesis"	"Kegg196"	"Metabolism"	"Biosynthesis of other secondary metabolites"
32	3.01390065069767e-07	9.41843953343023e-09	NA	NA	"Residuals  "	NA	"Neomycin, kanamycin and gentamicin biosynthesis"	"Kegg196"	"Metabolism"	"Biosynthesis of other secondary metabolites"
7	4.14590753187384e-08	5.92272504553406e-09	3.65030573260472	0.00526166574401428	"Plant      "	"**"	"Neuroactive ligand-receptor interaction"	"Kegg197"	"Environmental Information Processing"	"Signaling molecules and interaction"
1	2.00384194555233e-09	2.00384194555233e-09	1.23501187119921	0.274714866022758	"sex        "	"ns"	"Neuroactive ligand-receptor interaction"	"Kegg197"	"Environmental Information Processing"	"Signaling molecules and interaction"
7	4.03180567137979e-09	5.75972238768542e-10	0.35498436088694	0.921355430600036	"Plant:sex  "	"ns"	"Neuroactive ligand-receptor interaction"	"Kegg197"	"Environmental Information Processing"	"Signaling molecules and interaction"
32	5.19209116552138e-08	1.62252848922543e-09	NA	NA	"Residuals  "	NA	"Neuroactive ligand-receptor interaction"	"Kegg197"	"Environmental Information Processing"	"Signaling molecules and interaction"
7	1.16264840817654e-10	1.66092629739506e-11	1.94128416340273	0.0952527918201418	"Plant      "	"ns"	"Neutrophil extracellular trap formation"	"Kegg198"	"Organismal Systems"	"Immune system"
1	3.27183665657254e-11	3.27183665657254e-11	3.82410989374204	0.0592997119993421	"sex        "	"ns"	"Neutrophil extracellular trap formation"	"Kegg198"	"Organismal Systems"	"Immune system"
7	5.37764600441531e-11	7.68235143487902e-12	0.897910232477796	0.519988767038861	"Plant:sex  "	"ns"	"Neutrophil extracellular trap formation"	"Kegg198"	"Organismal Systems"	"Immune system"
32	2.73785994439269e-10	8.55581232622715e-12	NA	NA	"Residuals  "	NA	"Neutrophil extracellular trap formation"	"Kegg198"	"Organismal Systems"	"Immune system"
7	3.40504140458952e-07	4.86434486369931e-08	1.18410952770628	0.339429322425141	"Plant      "	"ns"	"Nicotinate and nicotinamide metabolism"	"Kegg199"	"Metabolism"	"Metabolism of cofactors and vitamins"
1	2.35602668712716e-10	2.35602668712716e-10	0.00573518886084056	0.940104576280554	"sex        "	"ns"	"Nicotinate and nicotinamide metabolism"	"Kegg199"	"Metabolism"	"Metabolism of cofactors and vitamins"
7	6.54814738987584e-07	9.35449627125119e-08	2.27713052262038	0.0531843290982579	"Plant:sex  "	"ns"	"Nicotinate and nicotinamide metabolism"	"Kegg199"	"Metabolism"	"Metabolism of cofactors and vitamins"
32	1.31456619507068e-06	4.10801935959587e-08	NA	NA	"Residuals  "	NA	"Nicotinate and nicotinamide metabolism"	"Kegg199"	"Metabolism"	"Metabolism of cofactors and vitamins"
7	2.3166647736452e-07	3.30952110520743e-08	1.73287351363158	0.136472526152929	"Plant      "	"ns"	"Nitrogen cycle"	"Kegg200"	"Metabolism"	"Global and overview maps"
1	7.00157918286109e-08	7.00157918286109e-08	3.66604434112342	0.064508219950221	"sex        "	"ns"	"Nitrogen cycle"	"Kegg200"	"Metabolism"	"Global and overview maps"
7	1.70545600427282e-07	2.43636572038974e-08	1.2756871741172	0.293361239892112	"Plant:sex  "	"ns"	"Nitrogen cycle"	"Kegg200"	"Metabolism"	"Global and overview maps"
32	6.11150638136845e-07	1.90984574417764e-08	NA	NA	"Residuals  "	NA	"Nitrogen cycle"	"Kegg200"	"Metabolism"	"Global and overview maps"
7	1.75907078327284e-07	2.51295826181834e-08	0.977076521420274	0.464639196849314	"Plant      "	"ns"	"Nitrogen metabolism"	"Kegg201"	"Metabolism"	"Energy metabolism"
1	7.47131435321404e-07	7.47131435321404e-07	29.0496103719348	6.39122083860142e-06	"sex        "	"***"	"Nitrogen metabolism"	"Kegg201"	"Metabolism"	"Energy metabolism"
7	1.46391807792815e-07	2.09131153989736e-08	0.813133841359719	0.583132401125803	"Plant:sex  "	"ns"	"Nitrogen metabolism"	"Kegg201"	"Metabolism"	"Energy metabolism"
32	8.2301296382904e-07	2.57191551196575e-08	NA	NA	"Residuals  "	NA	"Nitrogen metabolism"	"Kegg201"	"Metabolism"	"Energy metabolism"
7	1.34658010197022e-07	1.92368585995746e-08	3.08965995706164	0.0132500145187508	"Plant      "	"*"	"Nitrotoluene degradation"	"Kegg202"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
1	1.13830394069391e-07	1.13830394069391e-07	18.2824658523259	0.000160420685685998	"sex        "	"***"	"Nitrotoluene degradation"	"Kegg202"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
7	7.93092405843776e-08	1.13298915120539e-08	1.81971042420719	0.11753186527322	"Plant:sex  "	"ns"	"Nitrotoluene degradation"	"Kegg202"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
32	1.99238584097073e-07	6.22620575303355e-09	NA	NA	"Residuals  "	NA	"Nitrotoluene degradation"	"Kegg202"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
7	2.04942495534246e-07	2.92774993620352e-08	2.88082358364289	0.0188459131321313	"Plant      "	"*"	"Non-alcoholic fatty liver disease"	"Kegg203"	"Human Diseases"	"Endocrine and metabolic disease"
1	1.07437304094016e-08	1.07437304094016e-08	1.05715285164826	0.311574919788848	"sex        "	"ns"	"Non-alcoholic fatty liver disease"	"Kegg203"	"Human Diseases"	"Endocrine and metabolic disease"
7	3.36895572686138e-08	4.81279389551625e-09	0.473565381591112	0.846394524870631	"Plant:sex  "	"ns"	"Non-alcoholic fatty liver disease"	"Kegg203"	"Human Diseases"	"Endocrine and metabolic disease"
32	3.25212548558914e-07	1.0162892142466e-08	NA	NA	"Residuals  "	NA	"Non-alcoholic fatty liver disease"	"Kegg203"	"Human Diseases"	"Endocrine and metabolic disease"
7	2.62106487107076e-08	3.74437838724394e-09	3.91175547829104	0.00346180754227405	"Plant      "	"**"	"Non-homologous end-joining"	"Kegg204"	"Genetic Information Processing"	"Replication and repair"
1	1.3531937781652e-10	1.3531937781652e-10	0.141368276052444	0.709405776541386	"sex        "	"ns"	"Non-homologous end-joining"	"Kegg204"	"Genetic Information Processing"	"Replication and repair"
7	1.80472563959442e-09	2.57817948513489e-10	0.269342643343726	0.961413534573156	"Plant:sex  "	"ns"	"Non-homologous end-joining"	"Kegg204"	"Genetic Information Processing"	"Replication and repair"
32	3.06307766568663e-08	9.57211770527072e-10	NA	NA	"Residuals  "	NA	"Non-homologous end-joining"	"Kegg204"	"Genetic Information Processing"	"Replication and repair"
7	1.52809669355318e-08	2.18299527650455e-09	1.39829843907743	0.240137821097601	"Plant      "	"ns"	"Nonribosomal peptide structures"	"Kegg205"	"Metabolism"	"Metabolism of terpenoids and polyketides"
1	6.0849491821507e-09	6.0849491821507e-09	3.89766072095717	0.0570375255168258	"sex        "	"ns"	"Nonribosomal peptide structures"	"Kegg205"	"Metabolism"	"Metabolism of terpenoids and polyketides"
7	1.023640622038e-08	1.46234374576858e-09	0.936691434521564	0.492397493648609	"Plant:sex  "	"ns"	"Nonribosomal peptide structures"	"Kegg205"	"Metabolism"	"Metabolism of terpenoids and polyketides"
32	4.99577535781525e-08	1.56117979931727e-09	NA	NA	"Residuals  "	NA	"Nonribosomal peptide structures"	"Kegg205"	"Metabolism"	"Metabolism of terpenoids and polyketides"
7	1.74531932848446e-08	2.49331332640637e-09	1.36349641039401	0.254304362516435	"Plant      "	"ns"	"Novobiocin biosynthesis"	"Kegg206"	"Metabolism"	"Biosynthesis of other secondary metabolites"
1	5.76364778031063e-09	5.76364778031063e-09	3.15191555589838	0.0853505176493622	"sex        "	"ns"	"Novobiocin biosynthesis"	"Kegg206"	"Metabolism"	"Biosynthesis of other secondary metabolites"
7	1.31062258378639e-08	1.87231797683769e-09	1.02389812523639	0.433774062189243	"Plant:sex  "	"ns"	"Novobiocin biosynthesis"	"Kegg206"	"Metabolism"	"Biosynthesis of other secondary metabolites"
32	5.85157583377486e-08	1.82861744805464e-09	NA	NA	"Residuals  "	NA	"Novobiocin biosynthesis"	"Kegg206"	"Metabolism"	"Biosynthesis of other secondary metabolites"
7	2.79207742577851e-07	3.98868203682644e-08	0.873557467514636	0.53775303204247	"Plant      "	"ns"	"Nucleotide excision repair"	"Kegg207"	"Genetic Information Processing"	"Replication and repair"
1	1.74039661528771e-09	1.74039661528771e-09	0.0381162611029136	0.846444235360432	"sex        "	"ns"	"Nucleotide excision repair"	"Kegg207"	"Genetic Information Processing"	"Replication and repair"
7	2.52567054195257e-07	3.60810077421796e-08	0.790206726373008	0.600774193855795	"Plant:sex  "	"ns"	"Nucleotide excision repair"	"Kegg207"	"Genetic Information Processing"	"Replication and repair"
32	1.4611268282279e-06	4.5660213382122e-08	NA	NA	"Residuals  "	NA	"Nucleotide excision repair"	"Kegg207"	"Genetic Information Processing"	"Replication and repair"
7	7.84711454834783e-07	1.12101636404969e-07	1.45496510897478	0.218580095055651	"Plant      "	"ns"	"Nucleotide metabolism"	"Kegg208"	"Metabolism"	"Global and overview maps"
1	3.62681696461768e-07	3.62681696461768e-07	4.70723917097312	0.0375712450773713	"sex        "	"*"	"Nucleotide metabolism"	"Kegg208"	"Metabolism"	"Global and overview maps"
7	9.37107281757156e-07	1.33872468822451e-07	1.73752834869721	0.135386480446722	"Plant:sex  "	"ns"	"Nucleotide metabolism"	"Kegg208"	"Metabolism"	"Global and overview maps"
32	2.46552466642083e-06	7.7047645825651e-08	NA	NA	"Residuals  "	NA	"Nucleotide metabolism"	"Kegg208"	"Metabolism"	"Global and overview maps"
7	3.27101386350217e-08	4.67287694786024e-09	4.39473788334308	0.00163124607356305	"Plant      "	"**"	"O-Antigen repeat unit biosynthesis"	"Kegg209"	"Metabolism"	"Glycan biosynthesis and metabolism"
1	5.29043132438365e-09	5.29043132438365e-09	4.97553417732091	0.0328450043506064	"sex        "	"*"	"O-Antigen repeat unit biosynthesis"	"Kegg209"	"Metabolism"	"Glycan biosynthesis and metabolism"
7	1.73369061546053e-08	2.47670087922932e-09	2.32928264559637	0.0485870580205562	"Plant:sex  "	"*"	"O-Antigen repeat unit biosynthesis"	"Kegg209"	"Metabolism"	"Glycan biosynthesis and metabolism"
32	3.40252516306567e-08	1.06328911345802e-09	NA	NA	"Residuals  "	NA	"O-Antigen repeat unit biosynthesis"	"Kegg209"	"Metabolism"	"Glycan biosynthesis and metabolism"
7	9.08952794083136e-07	1.29850399154734e-07	1.74376725537024	0.133943884167187	"Plant      "	"ns"	"One carbon pool by folate"	"Kegg210"	"Metabolism"	"Metabolism of cofactors and vitamins"
1	6.44190511163338e-08	6.44190511163338e-08	0.865086535658829	0.359283060638363	"sex        "	"ns"	"One carbon pool by folate"	"Kegg210"	"Metabolism"	"Metabolism of cofactors and vitamins"
7	1.90809144127997e-07	2.72584491611424e-08	0.366055024773035	0.915214557471541	"Plant:sex  "	"ns"	"One carbon pool by folate"	"Kegg210"	"Metabolism"	"Metabolism of cofactors and vitamins"
32	2.38289413920049e-06	7.44654418500154e-08	NA	NA	"Residuals  "	NA	"One carbon pool by folate"	"Kegg210"	"Metabolism"	"Metabolism of cofactors and vitamins"
7	4.83732243078986e-13	6.91046061541408e-14	0.780682344018909	0.608161142469526	"Plant      "	"ns"	"Osteoclast differentiation"	"Kegg211"	"Organismal Systems"	"Development and regeneration"
1	1.03650925382667e-12	1.03650925382667e-12	11.7095591583255	0.00171879345719014	"sex        "	"**"	"Osteoclast differentiation"	"Kegg211"	"Organismal Systems"	"Development and regeneration"
7	5.70497061534944e-13	8.14995802192777e-14	0.920709730697602	0.503660391715129	"Plant:sex  "	"ns"	"Osteoclast differentiation"	"Kegg211"	"Organismal Systems"	"Development and regeneration"
